id,activity_new,channel_sales,cons_12m,cons_gas_12m,cons_last_month,no_consumption,churn,days_active,days_since_last_modification,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max
002d70a2bdf9cf62f10d1efbea890f69,cwofmuicebbcmiaaxufmfimpowpacobu,foosdfpfkusacimwkcsosbicdxkicaua,12386,48504,369,0,0,1461,46,0,0,910.34,0,532.44,0,0,12.86,0.14398,0,44.31137796,1,0,16.92,16.92,2,66.92,4,lxidpiddsbxsbosboudacockeimpuepw,10.392
002dc7935f7b6f855aaa3d1bd242ab9a,,epumfxlbckeskwekxbiuasklxalciiuu,6542,0,951,0,0,1096,403,,,,,667.16,951,0,131.76,0.11286,0.096521,40.606701,0,94.06,37.68,37.68,1,63.1,3,ldkssxwpmemidmecebumciepifcamkci,20.785
0030bd55614c2c5e693e04b64faa6445,apdekpcbwosbxepsfxclislboipuxpop,lmkebamcaaclubfxadlmueccxoimlema,963288,0,54281,0,0,2192,1830,,,,,3492.55,0,0,16.27,0.164637,0.087381,44.31137796,0,0,15.08,15.08,1,319.62,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.35
003742573bb97760793ced15e3e11745,,,5463,0,0,1,0,2557,2192,0,0,1211.86,0,820.36,0,0,19.45,0.146348,0,45.30837756,0,0,14.68,14.68,1,79.25,6,lxidpiddsbxsbosboudacockeimpuepw,10.39
003cb4fdda941fb84bcd2be9af683254,,,6931,0,598,0,0,2557,40,,,,,343.41,237,0,14.41,0.144038,0,46.30537836,0,34.36,24.62,24.62,1,28.03,6,lxidpiddsbxsbosboudacockeimpuepw,12.5
003e7fcd19e10f5114c29ce4a6997ba0,fcdfsumaxdslpwpxekaxasfuffeakxca,ewpakwlliwisiwduibdlfmalxowmwpci,5731,0,540,0,0,1432,-700,118.98,118.98,1374.49,75.69,927.33,540,24,19.94,0.138305,0,44.31137796,0,75.69,19.2,19.2,1,-106.08,4,lxidpiddsbxsbosboudacockeimpuepw,10.392
003fb333060c256bff67d8d550bff1fa,,,10026,19143,817,0,0,2557,2193,,,,,994.53,817,0,131.01,0.115174,0.098837,40.606701,1,80.28,21.56,21.56,2,111.1,7,ldkssxwpmemidmecebumciepifcamkci,17.25
00420fc2b6ede48ec7e941c769a6a840,fmwdwsxillemwbbwelxsampiuwwpcdcb,ewpakwlliwisiwduibdlfmalxowmwpci,51661,0,4311,0,0,1461,616,537.86,537.86,6649.1,409.35,5063.16,4311,0,145.9,0.113323,0.096984,40.606701,0,409.35,8.28,8.28,1,465.3,4,lxidpiddsbxsbosboudacockeimpuepw,17.32
0042d28bd6161dad1212cbafef43d147,,usilxuppasemubllopkaafesmlibmsdf,9014,0,1173,0,0,1461,1103,,,,,804.48,1044,0,130.39,0.11691,0.100572,40.606701,0,104.66,27.51,27.51,1,101.29,4,ldkssxwpmemidmecebumciepifcamkci,15.2
00443249897e23b636e6ba1ed6bfdb2a,,,35797,0,0,1,0,2192,1827,,,,,5283.67,0,0,19.54,0.143166,0,44.31137796,0,0,24.52,24.52,1,486.18,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
00459ffab7bbdf775a4f8c4c54cd0647,cwofmuicebbcmiaaxufmfimpowpacobu,foosdfpfkusacimwkcsosbicdxkicaua,49590,0,4088,0,0,1461,45,596.09,596.09,6513.95,394.29,4209.81,4088,0,144.43,0.114603,0.098261,40.606701,0,394.29,26.62,26.62,1,485.25,4,lxidpiddsbxsbosboudacockeimpuepw,34.5
004c8f9b38dd23ec22a8c88201cb359e,,usilxuppasemubllopkaafesmlibmsdf,581,0,0,1,0,1881,1516,,,,,84.12,0,0,39.86,0.140621,0,44.31137796,0,0,15.72,15.72,1,6.89,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
004d6fbd40fdd503a1a8f30f11613d3c,apdekpcbwosbxepsfxclislboipuxpop,lmkebamcaaclubfxadlmueccxoimlema,457677,940292,21826,0,0,2499,2134,0,0,5260.59,0,4739.29,0,0,37.46,0.165022,0.08638,44.31137796,1,0,3.56,3.56,2,367.95,6,lxidpiddsbxsbosboudacockeimpuepw,13.2
004eab8ff1db6804baa4742a47441dc3,,foosdfpfkusacimwkcsosbicdxkicaua,7972,0,583,0,0,1461,1096,155.37,155.37,1700.72,56.37,461.42,583,0,147.59,0.116509,0.101397,41.1052014,0,56.37,27.03,27.03,1,59.6,3,lxidpiddsbxsbosboudacockeimpuepw,17.32
0050ff8eebddf354344ac124c6c95217,,,5553,0,996,0,0,4018,83,,,,,812.68,996,0,6.46,0.141434,0,44.31137796,0,142.34,10.66,10.66,1,64.63,10,lxidpiddsbxsbosboudacockeimpuepw,11
00595ac27c3d569792525d9a8152ac28,,,2267,0,386,0,0,2192,1833,,,,,342.75,386,0,16.26,0.146694,0,44.31137796,0,57.35,23.76,23.76,1,35.49,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392
005a1ca83d28ef9fe6b50db90fab2e6a,,foosdfpfkusacimwkcsosbicdxkicaua,2732,0,775,0,0,1461,42178,180.19,180.19,822.68,89.91,336.97,775,0,29.79,0.165793,0.088539,44.31137796,0,89.91,16.92,16.92,2,30.69,3,lxidpiddsbxsbosboudacockeimpuepw,10.39
005e67ff54e6efe38addb10c386a9ed8,kkklcdamwfafdcfwofuscwfwadblfmce,foosdfpfkusacimwkcsosbicdxkicaua,33231,0,0,1,0,2557,2193,0,0,2168.64,0,1633.43,0,0,16.12,0.144902,0,44.31137796,0,0,8.8,8.8,1,139.39,6,lxidpiddsbxsbosboudacockeimpuepw,13.2
0060e975b0d00bfe39fd2da5a36aefe9,apdekpcbwosbxepsfxclislboipuxpop,,1722179,1192414,181187,0,0,2546,2181,,,,,4729.75,0,0,14.89,0.165022,0.08638,44.31137796,1,0,32.64,32.64,2,495.7,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,14.5
0061281c2a507ec6f448e4710fc23c61,ubaiusclasemueafdkuxwdemkfciboow,,15199,0,1327,0,0,2192,1830,,,,,2293.01,1327,0,18.08,0.146688,0,44.31137796,0,196.37,28.45,28.45,1,229.58,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856
0066e1989bb69201a52a109ff68cb700,feccpaplkaopdipbicfuiacpcieicauo,,342221,0,52437,0,0,2557,2192,,,,,32879.72,52437,0,141.44,0.110955,0.095842,40.606701,0,4846,-3.15,-3.15,1,2520.05,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,17.25
0067e39cb3da161ee6b1652ffc3ab247,pmedwkpuckbppeoecxiccwxluwkxdkpe,,20623,0,1945,0,0,2192,39,,,,,2127.13,1945,0,131.76,0.115182,0.098841,40.606701,0,189.83,17.81,17.81,1,197.01,6,ldkssxwpmemidmecebumciepifcamkci,23.1
006aa187782c3b5adfb2f866df8efd6a,,lmkebamcaaclubfxadlmueccxoimlema,14434,0,0,1,0,1826,1462,,,,,2145.91,0,0,15.42,0.144149,0,44.31137796,0,0,31.2,31.2,1,214.65,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856
006e3fba0c72834b3950b1940b592dda,kkklcdamwfafdcfwofuscwfwadblfmce,foosdfpfkusacimwkcsosbicdxkicaua,49757,1350391,5509,0,0,1555,-92,660.46,660.46,6331.27,540.92,5066.43,5509,0,143.29,0.110314,0.093976,40.606701,1,540.92,19.92,19.92,2,485.99,4,lxidpiddsbxsbosboudacockeimpuepw,16.5
007126a976062d074f0bc063dcc40772,,foosdfpfkusacimwkcsosbicdxkicaua,2562,0,0,1,0,1095,731,,,,,386.45,0,0,17.85,0.146694,0,44.31137796,0,0,26.04,26.04,1,40.03,3,ldkssxwpmemidmecebumciepifcamkci,10.392
00712a82ee7702fb3e3abace2ba58daa,,foosdfpfkusacimwkcsosbicdxkicaua,3300,0,359,0,0,1461,1109,,,,,352.17,359,0,131.76,0.11691,0.100572,40.606701,0,36.84,27.93,27.93,1,39.02,4,ldkssxwpmemidmecebumciepifcamkci,15.4
007366595913874291f68fec31370eeb,,lmkebamcaaclubfxadlmueccxoimlema,82900,0,14264,0,0,1461,1096,,,,,393.34,684,0,17.38,0.165794,0.087899,44.31137796,0,83.06,30.22,30.22,1,40.28,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
00741d1795e23f627bb7e8246c410cb3,,usilxuppasemubllopkaafesmlibmsdf,4201,2557,0,1,0,1461,1096,,,,,835.52,0,0,19.44,0.194979,0,44.31137796,1,0,-1.48,-1.48,2,257.02,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856
0075ba4dfe5a3515c59d2ce3222a32b8,,foosdfpfkusacimwkcsosbicdxkicaua,2533,0,456,0,1,1142,-217,,,,,345.29,456,30,131.39,0.161936,0.136336,41.1052014,0,66.5,70.12,70.12,1,17.04,3,ldkssxwpmemidmecebumciepifcamkci,19.8
00761154b6c4c736a000c84e6e487a02,wibcfduabsxmebaacissifxmkmkaadsb,foosdfpfkusacimwkcsosbicdxkicaua,2549,0,359,0,0,2557,2192,361.97,361.97,3518.43,34.15,246.65,359,0,145.3,0.115237,0.100123,41.2713642,0,34.15,94.86,94.86,1,26.18,6,lxidpiddsbxsbosboudacockeimpuepw,49
007a80f8808fdc58e43ff5550a39dc62,pposwlfwppaicikfaoeoaekwabfdfmpe,foosdfpfkusacimwkcsosbicdxkicaua,4538,0,1012,0,0,2192,488,,,,,687.28,1012,0,0,0.147506,0,45.80687796,0,151.19,26.2,26.2,1,69.37,5,lxidpiddsbxsbosboudacockeimpuepw,15
007c9311c0728c2f8de9b85f85947647,ckfxocssowaeipxueikxcmaxdmcduxsa,foosdfpfkusacimwkcsosbicdxkicaua,3458,0,0,1,0,2240,1876,,,,,554.31,0,0,18.27,0.158145,0,44.31137796,0,0,37.56,37.56,1,54.03,6,lxidpiddsbxsbosboudacockeimpuepw,15
0082e565c1298cbe9cf70e96f571e4fa,,,9779,351,0,1,0,2557,425,,,,,1449.57,0,0,22.37,0.146348,0,45.30837756,1,0,15.12,15.12,2,121.9,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
0082e856036f1ee2cb21b110dcea2950,cfdsselwimsklimddecfifseabdkxfcs,usilxuppasemubllopkaafesmlibmsdf,17839,0,876,0,0,1827,24,,,,,1319.73,876,0,131.76,0.114603,0.098261,40.606701,0,87.65,17.55,17.55,1,149.86,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,16.5
008639281430debb1b4faceeb0c4c3f4,,foosdfpfkusacimwkcsosbicdxkicaua,16575,0,2316,0,0,1489,55,,,,,908.17,794,0,18.27,0.142881,0,45.80687796,0,114.68,24.78,24.78,1,66.92,3,lxidpiddsbxsbosboudacockeimpuepw,15
0088f2a16e21e31f1474a2b3be3f673d,,ewpakwlliwisiwduibdlfmalxowmwpci,37703,0,0,1,0,1461,1096,,,,,510.97,0,0,16.24,0.145711,0,44.31137796,0,0,19.48,19.48,1,50.83,4,ldkssxwpmemidmecebumciepifcamkci,13.856
008e9867a90fb37bebad0a328d519931,mpicaaibskkfmxoblmwwwuuwpkecacil,foosdfpfkusacimwkcsosbicdxkicaua,27801,0,2460,0,0,1461,24,,,,,2874.44,2460,0,131.77,0.114603,0.098261,40.606701,0,240.93,13.97,13.97,1,330.71,4,ldkssxwpmemidmecebumciepifcamkci,18.13
009416f8e153be4bf2540d52f7f6f134,,lmkebamcaaclubfxadlmueccxoimlema,43892,0,3542,0,0,2161,1796,,,,,4029.16,3542,0,131.76,0.100167,0.091892,58.99595196,0,314.37,-3,-3,1,421.73,5,ldkssxwpmemidmecebumciepifcamkci,19.32
0096906bea10664463b8c147a5f3bf58,,foosdfpfkusacimwkcsosbicdxkicaua,14876,0,0,1,0,1461,1096,0,0,2799.12,0,2224.44,0,0,14.93,0.144149,0,44.31137796,0,0,28.67,28.67,1,227.54,4,lxidpiddsbxsbosboudacockeimpuepw,13.943
0096fe1dcaf12a9dd55cfd4e1e6f4dac,,ewpakwlliwisiwduibdlfmalxowmwpci,29492,0,0,1,0,1480,366,,,,,561.79,0,0,15.98,0.144902,0,44.31137796,0,0,16.44,16.44,1,52.8,4,ldkssxwpmemidmecebumciepifcamkci,13.856
009c4f0e98c8dc8bd69f318724b2f1d5,wxemiwkumpibllwklfbcooafckufkdlm,foosdfpfkusacimwkcsosbicdxkicaua,17285,0,3947,0,0,1827,1462,,,,,2193.78,3947,0,0,0.116509,0.101397,40.606701,0,475.79,7.59,7.59,1,230.58,4,lxidpiddsbxsbosboudacockeimpuepw,40
009e06998bb9469df8b49c14c72b23ad,apdekpcbwosbxepsfxclislboipuxpop,lmkebamcaaclubfxadlmueccxoimlema,788287,0,59796,0,0,2433,2068,,,,,7064.33,0,0,1.35,0.163479,0.086225,44.31137796,0,0,24.52,24.52,1,421.08,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
009f006f8dac72459c881e8599f6ad75,,foosdfpfkusacimwkcsosbicdxkicaua,11422,0,800,0,0,2557,2192,,,,,1166.21,800,0,132.64,0.115174,0.098837,40.606701,0,81,32.18,32.18,1,121.35,7,ldkssxwpmemidmecebumciepifcamkci,19.8
00a63e3b08f7d578b7a6a0db2c284d2e,ckfxocssowaeipxueikxcmaxdmcduxsa,usilxuppasemubllopkaafesmlibmsdf,231736,69815,14523,0,0,1388,366,688.44,688.44,6576.69,373.96,3625.87,4039,0,146.2,0.11084,0.095726,40.606701,1,373.96,-7.24,-7.24,2,268.22,3,lxidpiddsbxsbosboudacockeimpuepw,44
00afaab98ba4e403d34705cb839ad325,apdekpcbwosbxepsfxclislboipuxpop,,4939487,1860052,426460,0,0,1662,1299,490.96,490.96,4981.81,392.99,3838.66,4510,0,143.44,0.113206,0.093991,40.728885,1,392.99,0,0,2,323.3,4,lxidpiddsbxsbosboudacockeimpuepw,15.001
00b231071b41af9280d7c3e840243485,cwleuplwopmllxkbabaoeopmxxmfaiod,foosdfpfkusacimwkcsosbicdxkicaua,48923,129242,0,1,0,1444,1081,,,,,2323.9,0,0,0,0.1169,0.100015,40.606701,1,0,19.92,19.92,2,611.49,4,lxidpiddsbxsbosboudacockeimpuepw,19.919
00b46b90fb1333ba7a8d5ea0278a51bf,,,11309,0,1067,0,0,2557,50,,,,,1716,1067,0,6.37,0.143478,0,44.31137796,0,161.93,3.56,3.56,1,138.9,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
00b5e9bb90895af838f37e5540582994,,foosdfpfkusacimwkcsosbicdxkicaua,22264,0,2013,0,0,1461,1096,,,,,2259.99,2013,0,129.96,0.11691,0.100572,40.606701,0,200.5,20.95,20.95,1,276.97,3,lxidpiddsbxsbosboudacockeimpuepw,43.648
00b7201f8439bb2128ec2295abb0bacb,,foosdfpfkusacimwkcsosbicdxkicaua,8859,0,805,0,0,2192,1827,,,,,943.17,805,0,130.07,0.120372,0.103487,40.606701,0,84.86,51.96,51.96,1,109.21,5,lxidpiddsbxsbosboudacockeimpuepw,20.785
00b9ad3d4e5701f7f06f9075b7aa1a28,,usilxuppasemubllopkaafesmlibmsdf,9940,0,0,1,0,1827,1463,,,,,1469.24,0,0,16.28,0.145711,0,44.31137796,0,0,11.42,11.42,1,137.59,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
00bf3995126e432218c5a50ba3d03546,kkklcdamwfafdcfwofuscwfwadblfmce,foosdfpfkusacimwkcsosbicdxkicaua,17064,0,1207,0,0,1461,44,,,,,1700.3,1207,0,132.14,0.114603,0.098261,40.606701,0,117.16,14.46,14.46,1,205.47,3,ldkssxwpmemidmecebumciepifcamkci,23.1
00c3bf9c394142197c29abfbcf0b40c1,ekcdpfisfuemmpcauicoawcowfwlbpdu,,9229,0,0,1,0,1827,1462,,,,,1388.83,0,0,16.68,0.145711,0,44.31137796,0,0,14.64,14.64,1,140.39,5,ldkssxwpmemidmecebumciepifcamkci,10.392
00cc5688ee8c98545229094b3454b025,,foosdfpfkusacimwkcsosbicdxkicaua,12746,0,0,1,0,2191,1827,0,0,945.31,0,445.42,0,0,15.92,0.146694,0,44.31137796,0,0,34.68,34.68,1,47.28,6,lxidpiddsbxsbosboudacockeimpuepw,13.856
00ccb1f5828d8ed38e8be755e092eb9a,,foosdfpfkusacimwkcsosbicdxkicaua,642,0,141,0,0,1461,1096,,,,,96.44,141,0,18.37,0.145711,0,44.31137796,0,20.81,28.6,28.6,1,8.64,4,lxidpiddsbxsbosboudacockeimpuepw,13.856
00d44d36582e0f27ffbc0bd39c87fef8,fmwdwsxillemwbbwelxsampiuwwpcdcb,foosdfpfkusacimwkcsosbicdxkicaua,31768,6405,1470,0,0,1827,394,,,,,3225.45,1470,0,166.5,0.116509,0.101397,40.606701,1,147.57,0.68,0.68,2,418.26,4,lxidpiddsbxsbosboudacockeimpuepw,15.935
00d7c1ccd3efa5e0fe4470e1c4313c5c,,foosdfpfkusacimwkcsosbicdxkicaua,5972,0,513,0,1,1827,1462,,,,,621.82,513,0,129.95,0.116509,0.101397,41.1052014,0,52.06,27.7,27.7,1,77.11,4,lxidpiddsbxsbosboudacockeimpuepw,19
00db6c024b1f3440d48d0576204b57f0,,,5967,19465,0,1,0,2557,2194,,,,,890.11,0,0,16.59,0.144902,0,44.31137796,1,0,13.35,13.35,3,81.31,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.8
00dcb85a7eca4671d0c03f2412490e7a,ibkiiwcxiccxpoedpweiuxwbxbuewbxm,foosdfpfkusacimwkcsosbicdxkicaua,60083,183161,888,0,0,1445,348,,,,,6842.31,0,0,0,0.140621,0,44.31137796,1,0,13.32,13.32,2,498.77,3,lxidpiddsbxsbosboudacockeimpuepw,12.5
00df02fc5c2aa91286e3b0c5fc71808e,,foosdfpfkusacimwkcsosbicdxkicaua,2007,0,0,1,0,1096,42178,,,,,301.72,0,0,0,0.145711,0,44.31137796,0,0,24.4,24.4,1,38.15,3,lxidpiddsbxsbosboudacockeimpuepw,15
00df71a21bf5d1186f6b837e3a3d6929,,,37703,0,4097,0,0,2677,731,,,,,2256.05,2758,0,132.04,0.115237,0.100123,40.606701,0,276.57,24.72,24.72,1,230.56,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,16.5
00e2ac145fde89914e3c8931884c7b0c,,foosdfpfkusacimwkcsosbicdxkicaua,1590,0,0,1,0,2557,2192,0,0,850.37,0,238.55,0,0,0,0.146348,0,46.30537836,0,0,26.73,26.73,1,22.17,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
00e9beca750dfb5a7d603b3253d2cce2,,ewpakwlliwisiwduibdlfmalxowmwpci,3378,0,0,1,0,2192,72,,,,,505.08,0,0,17.54,0.142995,0,44.31137796,0,0,26.04,26.04,1,48.91,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392
00f328286431bf2825484506dc7b3179,bdcmbkmcaussbssoseifimsfkpcuaksk,foosdfpfkusacimwkcsosbicdxkicaua,9674,0,96,0,1,1095,738,434.17,434.17,5074.04,9.47,1061.06,96,0,169.88,0.120372,0.103487,40.606701,0,9.47,119.88,119.88,1,153.26,3,lxidpiddsbxsbosboudacockeimpuepw,60
00f72d11765b11f7651d54724eb1dcc7,kkklcdamwfafdcfwofuscwfwadblfmce,lmkebamcaaclubfxadlmueccxoimlema,20369,0,803,0,0,2192,1827,,,,,946.79,803,0,130.32,0.118646,0.102308,40.606701,0,82.94,54.3,54.3,1,116.47,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,26.6
00f7e6d3a79e08dca1e19b89acfbe9e5,,,4652,0,787,0,0,2557,2192,,,,,691.41,787,0,16.83,0.144902,0,44.31137796,0,115.39,16.38,16.38,1,62.2,6,ldkssxwpmemidmecebumciepifcamkci,13.8
00f9726373076a470b27c0fd03608910,fsoixmxdfowweuxusdclkapubxluefbi,,9281,0,0,1,0,2557,2192,,,,,1371.05,0,0,14.77,0.144902,0,44.31137796,0,0,11.42,11.42,1,134.78,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2
00fdf322054a93253c6d0034f0818359,,foosdfpfkusacimwkcsosbicdxkicaua,3945,0,362,0,0,2249,1886,,,,,392.21,362,0,129.26,0.1169,0.100015,40.606701,0,35.2,39.35,39.35,1,43.71,6,lxidpiddsbxsbosboudacockeimpuepw,17.321
00ff5fe8abd4ac4cdfa0f676969f6468,,,19645,0,1523,0,0,2192,41,,,,,1955.89,1523,0,131.84,0.114782,0.099665,40.606701,0,146.49,5,5,1,229.08,5,ldkssxwpmemidmecebumciepifcamkci,15.01
010efa9b36d814dc78f1494cf9047377,sffadmsbuamddwapeumdfibkmpkdicmc,foosdfpfkusacimwkcsosbicdxkicaua,18298,0,34,0,0,1827,34,,,,,1909.91,34,0,129.25,0.11634,0.099998,40.606701,0,3.27,19.5,19.5,1,272.49,4,lxidpiddsbxsbosboudacockeimpuepw,31.17
01110b97335f1c770563a6ac95cfcc64,,foosdfpfkusacimwkcsosbicdxkicaua,19544,0,20,0,0,1827,1462,,,,,14.07,20,0,140.6,0.116509,0.101397,41.2713642,0,1.88,42,42,1,1.69,4,lxidpiddsbxsbosboudacockeimpuepw,21.04
0111e14fb3fd7f7f4ed82790d3d4ef08,,,12975,0,2263,0,0,2557,-39,,,,,1272.96,2263,0,144.65,0.114667,0.099548,40.606701,0,217.23,15,15,1,149.17,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,30
0117022254b01c36da23c5329a97e653,,foosdfpfkusacimwkcsosbicdxkicaua,51179,0,3707,0,0,1461,399,380.35,380.35,6200.73,358.65,5078.46,3707,0,106.32,0.114658,0.099545,40.606701,0,358.65,-0.72,-0.72,2,586.93,3,,17.32
01170c016f8dd1fe2f43fb5bf6c43564,apdekpcbwosbxepsfxclislboipuxpop,,971469,0,82447,0,1,2401,2040,,,,,1843.45,1936,0,16.47,0.164057,0.086803,44.31137796,0,206.48,17.13,17.13,1,164.39,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.35
0117ac016b95035e446ad8a5a77d95a9,kwuslieomapmswolewpobpplkaooaaew,foosdfpfkusacimwkcsosbicdxkicaua,118609,63220,12074,0,0,2192,37,1504.78,1504.78,15308.99,1134.25,11685.55,12074,0,169.37,0.109806,0.094688,40.606701,1,1134.25,-11.32,-11.32,2,770.77,5,lxidpiddsbxsbosboudacockeimpuepw,55
011c52e04d71258afea1b8d72bb81f51,kmxccaddbdpaaolkbidlobeefsbbcxca,foosdfpfkusacimwkcsosbicdxkicaua,13755,0,1369,0,0,2192,1827,291.42,291.42,3069.2,138.79,1451.21,1369,0,144.2,0.115174,0.098837,40.606701,0,138.79,24.6,24.6,1,155.83,6,lxidpiddsbxsbosboudacockeimpuepw,23.1
